TileID,Cross,Rod,Cassette,Frame,RecruitID,UniqueID,Location,TimePoint,Date,Size
1669,SS,59,30,4,1,1669_1,Side,0,4/09/2020,2.573
1001,FF,59,30,4,1,1001_1,Side,0,4/09/2020,5.642
1692,SS,60,30,4,1,1692_1,Top,0,4/09/2020,5.648
1212,FS,61,31,4,1,1212_1,Face,0,4/09/2020,3.126
1065,FF,61,31,4,1,1065_1,Face,0,4/09/2020,NA
1783,SS,61,31,4,1,1783_1,Face,0,4/09/2020,17.545
1783,SS,62,31,4,2,1783_2,Face,0,4/09/2020,6.79
1724,SS,62,31,4,1,1724_1,Side,0,4/09/2020,2.842
1724,SS,62,31,4,2,1724_2,Side,0,4/09/2020,4.649
1497,SF,62,31,4,1,1497_1,Side,0,4/09/2020,6.95
1497,SF,62,31,4,2,1497_2,Side,0,4/09/2020,2.565
1497,SF,62,31,4,3,1497_3,Side,0,4/09/2020,1.852
1497,SF,62,31,4,4,1497_4,Face,0,4/09/2020,3.206
1217,FS,62,31,4,1,1217_1,Face,0,4/09/2020,NA
1379,FS,62,31,4,1,1379_1,Side,0,4/09/2020,6.65
1379,FS,62,31,4,2,1379_2,Side,0,4/09/2020,2.865
1090,FF,63,32,4,1,1090_1,Face,0,4/09/2020,2.777
1090,FF,63,32,4,3,1090_3,Side,0,4/09/2020,3.254
1113,FF,63,32,4,1,1113_1,Face,0,4/09/2020,1.787
1478,SF,63,32,4,3,1478_3,Face,0,4/09/2020,2.185
1478,SF,63,32,4,5,1478_5,Face,0,4/09/2020,NA
1668,SS,1,1,1,1,1668_1,Face,2,18/11/2020,9.749
1463,SF,1,1,1,1,1463_1,Top,2,18/11/2020,342.495
1441,SF,1,1,1,1,1441_1,Face,2,18/11/2020,NA
1388,FS,1,1,1,2,1388_2,Top,2,18/11/2020,10.516
3215,FS,2,1,1,2,3215_2,Face,2,18/11/2020,NA
1539,SF,2,1,1,1,1539_1,Top,2,18/11/2020,9.56
1104,FF,3,2,1,1,1104_1,Face,2,18/11/2020,10.877
1017,FF,4,2,1,1,1017_1,Face,2,18/11/2020,30.248
1198,FF,4,2,1,1,1198_1,Top,2,18/11/2020,24.533
1170,FF,4,2,1,1,1170_1,Top,2,18/11/2020,15.839
1170,FF,4,2,1,2,1170_2,Top,2,18/11/2020,7.352
1308,FS,5,3,1,1,1308_1,Top,2,18/11/2020,375.255
1272,FS,5,3,1,2,1272_2,Face,2,18/11/2020,1.881
1474,SF,5,3,1,1,1474_1,Face,2,18/11/2020,NA
1738,SS,5,3,1,1,1738_1,Top,2,18/11/2020,18.875
1738,SS,5,3,1,2,1738_2,Top,2,18/11/2020,336.118
1738,SS,5,3,1,3,1738_3,Face,2,18/11/2020,9.285
1254,FS,5,3,1,6,1254_6,Side,2,18/11/2020,NA
1124,FF,6,3,1,1,1124_1,Side,2,18/11/2020,NA
1124,FF,6,3,1,2,1124_2,Side,2,18/11/2020,NA
1124,FF,6,3,1,3,1124_3,Side,2,18/11/2020,4.689
1124,FF,6,3,1,4,1124_4,Side,2,18/11/2020,3.846
1124,FF,6,3,1,5,1124_5,Side,2,18/11/2020,4.884
1124,FF,6,3,1,6,1124_6,Side,2,18/11/2020,5.477
1124,FF,6,3,1,7,1124_7,Side,2,18/11/2020,2.353
1676,SS,7,4,1,1,1676_1,Top,2,18/11/2020,166.461
1676,SS,7,4,1,2,1676_2,Face,2,18/11/2020,15.384
1676,SS,7,4,1,3,1676_3,Face,2,18/11/2020,5.364
1676,SS,7,4,1,4,1676_4,Face,2,18/11/2020,58.282
1676,SS,7,4,1,5,1676_5,Face,2,18/11/2020,18.9
1660,SS,7,4,1,1,1660_1,Side,2,18/11/2020,2.567
1660,SS,7,4,1,2,1660_2,Side,2,18/11/2020,6.878
1660,SS,7,4,1,3,1660_3,Side,2,18/11/2020,1.756
1660,SS,7,4,1,4,1660_4,Side,2,18/11/2020,NA
1374,FS,7,4,1,1,1374_1,Face,2,18/11/2020,2.514
1106,FF,8,4,1,1,1106_1,Side,2,18/11/2020,44.92
1419,SF,8,4,1,1,1419_1,Side,2,18/11/2020,7.415
1267,FS,9,5,1,1,1267_1,Face,2,18/11/2020,2.167
1045,FF,9,5,1,1,1045_1,Side,2,18/11/2020,25.141
1045,FF,9,5,1,2,1045_2,Face,2,18/11/2020,NA
1715,SS,9,5,1,1,1715_1,Face,2,18/11/2020,78.546
1715,SS,9,5,1,2,1715_2,Face,2,18/11/2020,31.176
1715,SS,9,5,1,4,1715_4,Side,2,18/11/2020,NA
1468,SF,9,5,1,1,1468_1,Side,2,18/11/2020,NA
1663,SS,10,5,1,1,1663_1,Side,2,18/11/2020,NA
1780,SS,10,5,1,1,1780_1,Side,2,18/11/2020,NA
1235,FS,11,6,1,1,1235_1,Face,2,18/11/2020,2.38
1235,FS,11,6,1,2,1235_2,Face,2,18/11/2020,32.355
1235,FS,11,6,1,3,1235_3,Face,2,18/11/2020,3.032
1421,SF,11,6,1,1,1421_1,Face,2,18/11/2020,4.364
1321,FS,11,6,1,2,1321_2,Side,2,18/11/2020,NA
1321,FS,11,6,1,4,1321_4,Side,2,18/11/2020,7.385
